No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
502,KOTA SAMARINDA,2023-07-02,21:30:00,0,0,4,12," Rp200,000 ",Ringan,"JL RING ROAD, RT -, RW -, TITIK KOORDINAT -0.4393367261053096, 117.14745137769955",-0.439361201,117.1474571,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
503,KOTA SAMARINDA,2023-07-02,07:00:00,0,0,1,3," Rp1,000,000 ",Ringan,"JL HARTATI, RT -, RW -, TITIK KOORDINAT -0.5388355323065152, 117.08671634901019",-0.538831509,117.0867281,Jalan Kota / Kabupaten,Kolektor,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Z (Tikungan tajam),Cerah,Terang / Jelas
504,KOTA SAMARINDA,2023-05-29,07:00:00,0,0,1,3," Rp500,000 ",Ringan,"JL P. SURYANATA. SAMARINDA, RT -, RW -, TITIK KOORDINAT -",-0.456071316,117.1138944,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Cerah,Terang / Jelas
505,KOTA SAMARINDA,2023-05-29,06:00:00,0,0,1,3," Rp500,000 ",Ringan,"JL GAJAH MADA, RT -, RW -, TITIK KOORDINAT -",-0.501987787,117.1404804,Jalan Kota / Kabupaten,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Cerah,Terang / Jelas
506,KOTA SAMARINDA,2023-05-27,02:30:00,0,1,0,3," Rp500,000 ",Sedang,"JL P. SURYANATA. SAMARINDA, RT -, RW -, TITIK KOORDINAT -",-0.457565929,117.1143534,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Hujan/ Grimis,Gelap / Sulit Terlihat
507,KOTA SAMARINDA,2023-05-31,18:30:00,0,0,1,3," Rp100,000 ",Ringan,"JL GANI MULYA RAYA, RT -, RW -, TITIK KOORDINAT -",-0.532321329,117.1698496,Jalan Desa,Lokal / Lingkungan,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Hujan/ Grimis,Gelap / Sulit Terlihat
508,KOTA SAMARINDA,2023-05-31,19:00:00,0,0,2,6," Rp500,000 ",Ringan,"JL PENANGKARAN BUAYA SAMARINDA, RT -, RW -, TITIK KOORDINAT -",-0.514873618,117.230491,Jalan Desa,Lokal / Lingkungan,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Cerah,Gelap / Sulit Terlihat
509,KOTA SAMARINDA,2023-05-31,20:00:00,0,0,1,3," Rp500,000 ",Ringan,"JL P. SURYANATA, RT -, RW -, TITIK KOORDINAT -0.42426892885413076, 117.09329392273965",-0.42422702,117.0932912,Jalan Propinsi,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Z (Tikungan tajam),Cerah,Gelap / Sulit Terlihat
510,KOTA SAMARINDA,2023-06-01,21:00:00,0,0,1,3," Rp500,000 ",Ringan,"JL MAKROMAN SAMARINDA, RT -, RW -, TITIK KOORDINAT -",-0.546299042,117.2280509,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),X atau + (Simpang Empat),Berkabut/ Berasap,Gelap / Sulit Terlihat
511,KOTA SAMARINDA,2023-06-01,23:30:00,0,0,1,3," Rp500,000 ",Ringan,"JL POROS SAMARINDA BONTANG, RT -, RW -, TITIK KOORDINAT -0.43961228423613735, 117.21756440809143",-0.43961899,117.2175745,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Cerah,Gelap / Sulit Terlihat
