No,Polres,Tanggal Kejadian,Waktu Kejadian,Meninggal Dunia,Luka Berat,Luka Ringan,EAN, Rugi Material Kendaraan ,Tingkat Kecelakaan,Tipe Kecelakaan,Penyebab,Nama Jalan,Koordinat GPS - Lintang,Koordinat GPS - Bujur,Status Jalan,Fungsi Jalan,Kelas Jalan,Tipe Jalan,Bentuk Geometri,Cuaca,Kondisi Cahaya
41,KOTA BALIKPAPAN,2021-07-25,17:00:00,1,0,0,12," Rp300,000 ",Berat,Tabrakan depan - belakang,Manusia,"Jl. Letjen S. Parman dekat SMK Airlangga, Gunung Sari Ulu, Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76122, Indonesia",-1.2550244,116.8434647,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
42,KOTA BALIKPAPAN,2021-07-27,08:30:00,1,0,0,12," Rp300,000 ",Berat,"Di simpang, tabrakan dengan Kendaraan B yang datang dari arah kanan",Manusia,"Jl Jenderal Sudirman putaran Jabal Nor Kel.Klandasan Ilir, Balikpapan Kota, Kota Balikpapan, Kalimantan Timur, Indonesia",-1.2767299,116.8402461,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),6/2 B (6 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
43,KOTA BALIKPAPAN,2021-06-07,06:20:00,0,0,1,3," Rp500,000 ",Ringan,Tabrakan saat menyalip,Jalan,"Jl Mulawarman depan PT Elnusa Kel.Manggar, Kec. Balikpapan Timur, Kota Balikpapan, Kalimantan Timur 76116, Indonesia",-1.248821,116.9349805,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
44,KOTA BALIKPAPAN,2021-08-04,02:45:00,1,0,0,12," Rp2,000,000 ",Berat,Kendaraan Out of Control keluar ke kiri jalan,Manusia,Jl Jenderal Sudirman depan pintu masuk Aspol Brimob Stal kuda kel.Damai Bahagia kec.Balikpapan Selatan,-1.2743572,116.8620162,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Redup / Samar (Tidak jelas terlihat),Cerah
45,KOTA BALIKPAPAN,2021-08-24,20:00:00,1,0,0,12," Rp2,000,000 ",Berat,Tabrakan dengan kendaraan parkir di kiri,Manusia,Jl Soekarno Hatta KM.18 dekat Bengkel Sepeda Mario Wali RT.39 Kel.Karang Joang Kec.Balikpapan Utara,-1.132603451,116.8817239,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Cerah
46,KOTA BALIKPAPAN,2021-07-29,16:30:00,0,1,3,12," Rp1,000,000 ",Sedang,Tabrakan depan - depan,Manusia,"Jl. Soekarno Hatta KM 8.5 depan Gapura Padat Karya Kel.Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76127, Indonesia",-1.1999889,116.8836795,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Terang / Jelas,Cerah
47,KOTA BALIKPAPAN,2021-09-10,15:30:00,1,0,0,12," Rp500,000 ",Berat,Tabrakan saat menyalip dari kiri,Manusia,"Jl. Sultan Hasanuddin tanjakan dekat PT Bumi Intan gemilang RT.048 Kariangau, Balikpapan Barat",-1.175243341,116.849157,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
48,KOTA BALIKPAPAN,2021-08-30,23:30:00,0,1,0,3," Rp1,000,000 ",Sedang,Tabrakan depan - depan,Manusia,"Jalan Mulawarman RT.05 depan toko Mia Kel.Lamaru, Kec Balikpapan timur, Kota Balikpapan, Kalimantan Timur 76118, Indonesia",-1.1921058,116.9940068,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Redup / Samar (Tidak jelas terlihat),Cerah
49,KOTA BALIKPAPAN,2021-09-25,23:00:00,1,0,0,12," Rp5,000,000 ",Berat,Tabrakan depan - belakang,Manusia,"Jl Hendriawan Sie dekat terapi Choyang Kel.Mekarsi Kec. Balikpapan Tengah, Kota Balikpapan, Kalimantan Timur 76113, Indonesia",-1.2616373,116.8382541,Jalan Kota / Kabupaten,Lokal / Lingkungan,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Cerah
50,KOTA BALIKPAPAN,2021-07-08,00:30:00,1,0,0,12," Rp1,000,000 ",Berat,Kendaraan Out of Control keluar ke kanan jalan,Manusia,"Jl Kapten Piere Tendean RT.46 depan English First Kel.Telagasari, Balikpapan Kota, Kalimantan Timur 76112, Indonesia",-1.269914012,116.8337985,Jalan Kota / Kabupaten,Kolektor,III (Jalan Kecil utk max beban 8 ton & 9 m Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Tikungan,Redup / Samar (Tidak jelas terlihat),Cerah
51,KOTA BALIKPAPAN,2021-09-28,00:20:00,1,0,0,12," Rp1,000,000 ",Berat,"Di ruas jalan, pejalan kaki menyeberang dari kanan ke kiri",Manusia,"Jl. Soekarno Hatta KM.5,5 dekat Masjid Nurul Aman, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76136, Indonesia",-1.212371381,116.8615629,Jalan Nasional,Arteri,I (Jalan Besar utk beban 10 ton & max 18 m Panjang Ran),4/2 TB (4 Lajur/2 Arah Tanpa Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Cerah
52,KOTA BALIKPAPAN,2021-09-28,05:30:00,1,0,0,12," Rp500,000 ",Berat,Tabrakan depan - belakang,Manusia,"Jl. Jenderal Sudirman dekat pegadaian, Klandasan Ulu, Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76112, Indonesia",-1.277276906,116.8320992,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),Lurus,Redup / Samar (Tidak jelas terlihat),Cerah
53,KOTA BALIKPAPAN,2021-09-28,17:30:00,1,0,1,15," Rp500,000 ",Berat,Tabrakan depan - depan,Manusia,"Jl Soekarno Hatta KM.24 dekat bios cafe Karang Joang, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76127, Indonesia",-1.090060933,116.9078596,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Terang / Jelas,Cerah
54,KOTA BALIKPAPAN,2021-10-19,18:30:00,1,0,0,12," Rp500,000 ",Berat,"Di ruas jalan, pejalan kaki menyeberang dari kanan ke kiri",Manusia,"Jl. Mulawarman depan Toko Metro Kel.Manggar Baru Kec.Balikpapan Timur, Kota Balikpapan.",-1.2162985,116.9711464,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Terang / Jelas,Cerah
55,KOTA BALIKPAPAN,2021-10-13,23:15:00,0,1,1,6," Rp1,000,000 ",Sedang,"Di simpang, tabrakan dengan Kendaraan B yang datang dari arah kanan",Manusia,"Jl. Jenderal Sudirman Gerbang Beriman, Damai, Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76113, Indonesia",-1.271461612,116.8532928,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),4/2 B (4 Lajur/2 Arah dengan Batas Median),T (Simpang Tiga),Terang / Jelas,Cerah
56,KOTA BALIKPAPAN,2021-10-23,12:30:00,0,1,0,3," Rp2,000,000 ",Sedang,Tabrakan depan - depan,Manusia,Jl. Soekarno Hatta Km.16 tikungan dekat SMAN 9 Kel. Karang Joang  Kec.Balikpapan Utara Kota Balikpapan.,-1.143411496,116.8754926,Jalan Nasional,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Tikungan,Terang / Jelas,Cerah
57,KOTA BALIKPAPAN,2021-10-31,01:00:00,2,0,0,24," Rp1,000,000 ",Berat,Tabrakan depan - depan,Manusia,"Jl. Mulawarman dekat pemancingan Linov Lamaru, Kec. Balikpapan Tim., Kota Balikpapan, Kalimantan Timur 76117, Indonesia",-1.196328113,116.9870055,Jalan Propinsi,Arteri,II (Jalan Sedang utk beban s/d 10 ton & 12m  Panjang Ran),2/2 TB (2 Lajur/2 Arah Tanpa Batas Median),Lurus,Gelap / Sulit Terlihat,Cerah
